,total_cases,total_vaccinations,date,new_vaccinations_smoothed_per_million,new_cases_per_million,new_cases,total_deaths,new_deaths_per_million,new_deaths
98722,2.0,,2020-01-31,,0.034,2.0,,,
98723,2.0,,2020-02-01,,0.0,0.0,,,
98724,2.0,,2020-02-02,,0.0,0.0,,,
98725,2.0,,2020-02-03,,0.0,0.0,,,
98726,2.0,,2020-02-04,,0.0,0.0,,,
98727,2.0,,2020-02-05,,0.0,0.0,,,
98728,2.0,,2020-02-06,,0.0,0.0,,,
98729,3.0,,2020-02-07,,0.017,1.0,,,
98730,3.0,,2020-02-08,,0.0,0.0,,,
98731,3.0,,2020-02-09,,0.0,0.0,,,
98732,3.0,,2020-02-10,,0.0,0.0,,,
98733,3.0,,2020-02-11,,0.0,0.0,,,
98734,3.0,,2020-02-12,,0.0,0.0,,,
98735,3.0,,2020-02-13,,0.0,0.0,,,
98736,3.0,,2020-02-14,,0.0,0.0,,,
98737,3.0,,2020-02-15,,0.0,0.0,,,
98738,3.0,,2020-02-16,,0.0,0.0,,,
98739,3.0,,2020-02-17,,0.0,0.0,,,
98740,3.0,,2020-02-18,,0.0,0.0,,,
98741,3.0,,2020-02-19,,0.0,0.0,,,
98742,3.0,,2020-02-20,,0.0,0.0,,,
98743,20.0,,2020-02-21,,0.287,17.0,1.0,0.017,1.0
98744,62.0,,2020-02-22,,0.709,42.0,2.0,0.017,1.0
98745,155.0,,2020-02-23,,1.57,93.0,3.0,0.017,1.0
98746,229.0,,2020-02-24,,1.249,74.0,7.0,0.068,4.0
98747,322.0,,2020-02-25,,1.57,93.0,10.0,0.051,3.0
98748,453.0,,2020-02-26,,2.211,131.0,12.0,0.034,2.0
98749,655.0,,2020-02-27,,3.41,202.0,17.0,0.084,5.0
98750,888.0,,2020-02-28,,3.933,233.0,21.0,0.068,4.0
98751,1128.0,,2020-02-29,,4.051,240.0,29.0,0.135,8.0
98752,1694.0,,2020-03-01,,9.554,566.0,34.0,0.084,5.0
98753,2036.0,,2020-03-02,,5.773,342.0,52.0,0.304,18.0
98754,2502.0,,2020-03-03,,7.866,466.0,79.0,0.456,27.0
98755,3089.0,,2020-03-04,,9.909,587.0,107.0,0.473,28.0
98756,3858.0,,2020-03-05,,12.981,769.0,148.0,0.692,41.0
98757,4636.0,,2020-03-06,,13.133,778.0,197.0,0.827,49.0
98758,5883.0,,2020-03-07,,21.05,1247.0,233.0,0.608,36.0
98759,7375.0,,2020-03-08,,25.186,1492.0,366.0,2.245,133.0
98760,9172.0,,2020-03-09,,30.334,1797.0,463.0,1.637,97.0
98761,10149.0,,2020-03-10,,16.492,977.0,631.0,2.836,168.0
98762,12462.0,,2020-03-11,,39.044,2313.0,827.0,3.309,196.0
98763,15113.0,,2020-03-12,,44.75,2651.0,1016.0,3.19,189.0
98764,17660.0,,2020-03-13,,42.994,2547.0,1266.0,4.22,250.0
98765,21157.0,,2020-03-14,,59.031,3497.0,1441.0,2.954,175.0
98766,24747.0,,2020-03-15,,60.601,3590.0,1809.0,6.212,368.0
98767,27980.0,,2020-03-16,,54.574,3233.0,2158.0,5.891,349.0
98768,31506.0,,2020-03-17,,59.52,3526.0,2503.0,5.824,345.0
98769,35713.0,,2020-03-18,,71.016,4207.0,2978.0,8.018,475.0
98770,41035.0,,2020-03-19,,89.837,5322.0,3405.0,7.208,427.0
98771,47021.0,,2020-03-20,,101.046,5986.0,4032.0,10.584,627.0
98772,53578.0,,2020-03-21,,110.685,6557.0,4825.0,13.386,793.0
98773,59138.0,,2020-03-22,,93.855,5560.0,5476.0,10.989,651.0
98774,63927.0,,2020-03-23,,80.84,4789.0,6077.0,10.145,601.0
98775,69176.0,,2020-03-24,,88.605,5249.0,6820.0,12.542,743.0
98776,74386.0,,2020-03-25,,87.947,5210.0,7503.0,11.529,683.0
98777,80589.0,,2020-03-26,,104.709,6203.0,8215.0,12.019,712.0
98778,86498.0,,2020-03-27,,99.746,5909.0,9134.0,15.513,919.0
98779,92472.0,,2020-03-28,,100.843,5974.0,10023.0,15.007,889.0
98780,97689.0,,2020-03-29,,88.065,5217.0,10779.0,12.762,756.0
98781,101739.0,,2020-03-30,,68.366,4050.0,11591.0,13.707,812.0
98782,105792.0,,2020-03-31,,68.416,4053.0,12428.0,14.129,837.0
98783,110574.0,,2020-04-01,,80.722,4782.0,13155.0,12.272,727.0
98784,115242.0,,2020-04-02,,78.798,4668.0,13915.0,12.829,760.0
98785,119827.0,,2020-04-03,,77.397,4585.0,14681.0,12.93,766.0
98786,124632.0,,2020-04-04,,81.11,4805.0,15362.0,11.496,681.0
98787,128948.0,,2020-04-05,,72.856,4316.0,15887.0,8.862,525.0
98788,132547.0,,2020-04-06,,60.753,3599.0,16523.0,10.736,636.0
98789,135586.0,,2020-04-07,,51.3,3039.0,17127.0,10.196,604.0
98790,139422.0,,2020-04-08,,64.753,3836.0,17669.0,9.149,542.0
98791,143626.0,,2020-04-09,,70.965,4204.0,18279.0,10.297,610.0
98792,147577.0,,2020-04-10,,66.694,3951.0,18849.0,9.622,570.0
98793,152271.0,,2020-04-11,,79.237,4694.0,19468.0,10.449,619.0
98794,156363.0,,2020-04-12,,69.075,4092.0,19899.0,7.275,431.0
98795,159516.0,,2020-04-13,,53.224,3153.0,20465.0,9.554,566.0
98796,162488.0,,2020-04-14,,50.169,2972.0,21067.0,10.162,602.0
98797,165155.0,,2020-04-15,,45.02,2667.0,21645.0,9.757,578.0
98798,168941.0,,2020-04-16,,63.909,3786.0,22170.0,8.862,525.0
98799,172434.0,,2020-04-17,,58.963,3493.0,22745.0,9.706,575.0
98800,175925.0,,2020-04-18,,58.929,3491.0,23227.0,8.136,482.0
98801,178972.0,,2020-04-19,,51.435,3047.0,23660.0,7.309,433.0
98802,181228.0,,2020-04-20,,38.082,2256.0,24114.0,7.664,454.0
98803,183957.0,,2020-04-21,,46.067,2729.0,24648.0,9.014,534.0
98804,187327.0,,2020-04-22,,56.887,3370.0,25085.0,7.377,437.0
98805,189973.0,,2020-04-23,,44.666,2646.0,25549.0,7.833,464.0
98806,192994.0,,2020-04-24,,50.996,3021.0,25969.0,7.09,420.0
98807,195351.0,,2020-04-25,,39.787,2357.0,26384.0,7.005,415.0
98808,197675.0,,2020-04-26,,39.23,2324.0,26644.0,4.389,260.0
98809,199414.0,,2020-04-27,,29.355,1739.0,26977.0,5.621,333.0
98810,201505.0,,2020-04-28,,35.297,2091.0,27359.0,6.448,382.0
98811,203591.0,,2020-04-29,,35.212,2086.0,27682.0,5.452,323.0
98812,205463.0,,2020-04-30,,31.6,1872.0,27967.0,4.811,285.0
98813,207428.0,,2020-05-01,,33.17,1965.0,28236.0,4.541,269.0
98814,209328.0,,2020-05-02,,32.073,1900.0,28710.0,8.001,474.0
98815,210717.0,,2020-05-03,,23.447,1389.0,28884.0,2.937,174.0
98816,211938.0,,2020-05-04,,20.611,1221.0,29079.0,3.292,195.0
98817,213013.0,,2020-05-05,,18.146,1075.0,29315.0,3.984,236.0
98818,214457.0,,2020-05-06,,24.375,1444.0,29684.0,6.229,369.0
98819,215858.0,,2020-05-07,,23.649,1401.0,29958.0,4.625,274.0
98820,217185.0,,2020-05-08,,22.4,1327.0,30201.0,4.102,243.0
98821,218268.0,,2020-05-09,,18.281,1083.0,30395.0,3.275,194.0
98822,219070.0,,2020-05-10,,13.538,802.0,30560.0,2.785,165.0
98823,219814.0,,2020-05-11,,12.559,744.0,30739.0,3.022,179.0
98824,221216.0,,2020-05-12,,23.666,1402.0,30911.0,2.903,172.0
98825,222104.0,,2020-05-13,,14.99,888.0,31106.0,3.292,195.0
98826,223096.0,,2020-05-14,,16.745,992.0,31368.0,4.423,262.0
98827,223885.0,,2020-05-15,,13.319,789.0,31610.0,4.085,242.0
98828,224760.0,,2020-05-16,,14.77,875.0,31763.0,2.583,153.0
98829,225435.0,,2020-05-17,,11.394,675.0,31908.0,2.448,145.0
98830,225886.0,,2020-05-18,,7.613,451.0,32007.0,1.671,99.0
98831,226699.0,,2020-05-19,,13.724,813.0,32169.0,2.735,162.0
98832,227364.0,,2020-05-20,,11.225,665.0,32330.0,2.718,161.0
98833,228006.0,,2020-05-21,,10.837,642.0,32486.0,2.633,156.0
98834,228658.0,,2020-05-22,,11.006,652.0,32616.0,2.194,130.0
98835,229327.0,,2020-05-23,,11.293,669.0,32735.0,2.009,119.0
98836,229858.0,,2020-05-24,,8.963,531.0,32785.0,0.844,50.0
98837,230158.0,,2020-05-25,,5.064,300.0,32877.0,1.553,92.0
98838,230555.0,,2020-05-26,,6.702,397.0,32955.0,1.317,78.0
98839,231139.0,,2020-05-27,,9.858,584.0,33072.0,1.975,117.0
98840,231732.0,,2020-05-28,,10.01,593.0,33142.0,1.182,70.0
98841,232248.0,,2020-05-29,,8.71,516.0,33229.0,1.469,87.0
98842,232664.0,,2020-05-30,,7.022,416.0,33340.0,1.874,111.0
98843,232997.0,,2020-05-31,,5.621,333.0,33415.0,1.266,75.0
98844,233197.0,,2020-06-01,,3.376,200.0,33475.0,1.013,60.0
98845,233515.0,,2020-06-02,,5.368,318.0,33530.0,0.928,55.0
98846,233836.0,,2020-06-03,,5.419,321.0,33601.0,1.199,71.0
98847,234013.0,,2020-06-04,,2.988,177.0,33689.0,1.485,88.0
98848,234531.0,,2020-06-05,,8.744,518.0,33774.0,1.435,85.0
98849,234801.0,,2020-06-06,,4.558,270.0,33846.0,1.215,72.0
98850,234998.0,,2020-06-07,,3.325,197.0,33899.0,0.895,53.0
98851,235278.0,,2020-06-08,,4.727,280.0,33964.0,1.097,65.0
98852,235561.0,,2020-06-09,,4.777,283.0,34043.0,1.334,79.0
98853,235763.0,,2020-06-10,,3.41,202.0,34114.0,1.199,71.0
98854,236142.0,,2020-06-11,,6.398,379.0,34167.0,0.895,53.0
98855,236305.0,,2020-06-12,,2.752,163.0,34223.0,0.945,56.0
98856,236651.0,,2020-06-13,,5.841,346.0,34301.0,1.317,78.0
98857,236989.0,,2020-06-14,,5.706,338.0,34345.0,0.743,44.0
98858,237290.0,,2020-06-15,,5.081,301.0,34371.0,0.439,26.0
98859,237500.0,,2020-06-16,,3.545,210.0,34405.0,0.574,34.0
98860,237828.0,,2020-06-17,,5.537,328.0,34448.0,0.726,43.0
98861,238159.0,,2020-06-18,,5.587,331.0,34514.0,1.114,66.0
98862,238011.0,,2020-06-19,,,,34561.0,0.793,47.0
98863,238275.0,,2020-06-20,,4.456,264.0,34610.0,0.827,49.0
98864,238499.0,,2020-06-21,,3.781,224.0,34634.0,0.405,24.0
98865,238720.0,,2020-06-22,,3.731,221.0,34657.0,0.388,23.0
98866,238833.0,,2020-06-23,,1.907,113.0,34675.0,0.304,18.0
98867,239410.0,,2020-06-24,,9.74,577.0,34644.0,,
98868,239706.0,,2020-06-25,,4.997,296.0,34678.0,0.574,34.0
98869,239961.0,,2020-06-26,,4.304,255.0,34708.0,0.506,30.0
98870,240136.0,,2020-06-27,,2.954,175.0,34716.0,0.135,8.0
98871,240310.0,,2020-06-28,,2.937,174.0,34738.0,0.371,22.0
98872,240436.0,,2020-06-29,,2.127,126.0,34744.0,0.101,6.0
98873,240578.0,,2020-06-30,,2.397,142.0,34767.0,0.388,23.0
98874,240760.0,,2020-07-01,,3.072,182.0,34788.0,0.354,21.0
98875,240961.0,,2020-07-02,,3.393,201.0,34818.0,0.506,30.0
98876,241184.0,,2020-07-03,,3.764,223.0,34833.0,0.253,15.0
98877,241419.0,,2020-07-04,,3.967,235.0,34854.0,0.354,21.0
98878,241611.0,,2020-07-05,,3.241,192.0,34861.0,0.118,7.0
98879,241819.0,,2020-07-06,,3.511,208.0,34869.0,0.135,8.0
98880,241956.0,,2020-07-07,,2.313,137.0,34899.0,0.506,30.0
98881,242149.0,,2020-07-08,,3.258,193.0,34914.0,0.253,15.0
98882,242363.0,,2020-07-09,,3.612,214.0,34926.0,0.203,12.0
98883,242639.0,,2020-07-10,,4.659,276.0,34938.0,0.203,12.0
98884,242827.0,,2020-07-11,,3.174,188.0,34945.0,0.118,7.0
98885,243061.0,,2020-07-12,,3.95,234.0,34954.0,0.152,9.0
98886,243230.0,,2020-07-13,,2.853,169.0,34967.0,0.219,13.0
98887,243344.0,,2020-07-14,,1.924,114.0,34984.0,0.287,17.0
98888,243506.0,,2020-07-15,,2.735,162.0,34997.0,0.219,13.0
98889,243736.0,,2020-07-16,,3.882,230.0,35017.0,0.338,20.0
98890,243967.0,,2020-07-17,,3.899,231.0,35028.0,0.186,11.0
98891,244216.0,,2020-07-18,,4.203,249.0,35042.0,0.236,14.0
98892,244434.0,,2020-07-19,,3.68,218.0,35045.0,0.051,3.0
98893,244624.0,,2020-07-20,,3.207,190.0,35058.0,0.219,13.0
98894,244752.0,,2020-07-21,,2.161,128.0,35073.0,0.253,15.0
98895,245032.0,,2020-07-22,,4.727,280.0,35082.0,0.152,9.0
98896,245338.0,,2020-07-23,,5.165,306.0,35092.0,0.169,10.0
98897,245590.0,,2020-07-24,,4.254,252.0,35097.0,0.084,5.0
98898,245864.0,,2020-07-25,,4.625,274.0,35102.0,0.084,5.0
98899,246118.0,,2020-07-26,,4.288,254.0,35107.0,0.084,5.0
98900,246286.0,,2020-07-27,,2.836,168.0,35112.0,0.084,5.0
98901,246488.0,,2020-07-28,,3.41,202.0,35123.0,0.186,11.0
98902,246776.0,,2020-07-29,,4.862,288.0,35129.0,0.101,6.0
98903,247158.0,,2020-07-30,,6.448,382.0,35132.0,0.051,3.0
98904,247537.0,,2020-07-31,,6.398,379.0,35141.0,0.152,9.0
98905,247832.0,,2020-08-01,,4.98,295.0,35146.0,0.084,5.0
98906,248070.0,,2020-08-02,,4.018,238.0,35154.0,0.135,8.0
98907,248229.0,,2020-08-03,,2.684,159.0,35166.0,0.203,12.0
98908,248419.0,,2020-08-04,,3.207,190.0,35171.0,0.084,5.0
